date,country,net_injection,hdd,wind_weighted,day_sin,day_cos,day_of_week,is_weekend,stock_twh_lag_1,stock_fill_rate,hdd_wind,cold_weekend,net_injection_lag_1,net_injection_lag_7,hdd_roll_mean_7,wind_roll_mean_7
2016-03-30,BE,0.04679999999999995,8.12127456665039,38.77318572998047,0.9997451236925734,0.022576263041545485,2,0,1.5219,1.5219,314.88768713690223,0.0,0.019300000000000095,0.00019999999999997797,8.71066482067108,46.028756277901785
2016-03-31,BE,-0.0033000000000000806,9.826900076866151,30.007678985595703,0.9999855506507186,0.005375731557583884,3,0,1.5687,1.5687,294.8824629301252,0.0,0.04679999999999995,-0.014599999999999946,8.735307686669486,44.66473988124302
2016-04-01,BE,-0.006399999999999961,9.665337729454041,27.416780471801758,0.9999300657962057,-0.011826390691832589,4,0,1.5654,1.5654,264.9924427142643,0.0,-0.0033000000000000806,0.0020999999999999908,8.675010095323834,42.90654182434082
2016-04-02,BE,0.0020000000000000018,6.292838287353517,28.03843116760254,0.9995786855478958,-0.029025013321975237,5,1,1.559,1.559,176.4413131688154,6.292838287353517,-0.006399999999999961,0.014899999999999913,8.36828395979745,40.15900802612305
2016-04-03,BE,0.016199999999999992,1.994921016693116,25.210283279418945,0.9989315138848577,-0.046215046983708354,6,1,1.561,1.561,50.292523950899906,1.994921016693116,0.0020000000000000018,0.0262,7.532510260173252,37.39828300476074
2016-04-04,BE,0.0,4.263254404067993,26.200977325439453,0.9979887423155984,-0.06339140486951038,0,0,1.5772,1.5772,111.70143197356538,0.0,0.016199999999999992,0.030399999999999983,6.985441793714251,31.362545285906112
2016-04-05,BE,0.0,6.427732753753663,29.95796775817871,0.9967506498213929,-0.08054900421874167,1,0,1.5772,1.5772,192.56181059514148,0.0,0.0,0.019300000000000095,6.656036976405553,29.372186388288224
2016-04-06,BE,-0.054300000000000015,8.45002555847168,52.4859733581543,0.9952176027737294,-0.09768276782171598,2,0,1.5772,1.5772,443.50781633766746,0.0,0.0,0.04679999999999995,6.703001403808594,31.331156049455917
2016-04-07,BE,-0.0032999999999998586,9.921066212654114,42.08921813964844,0.9933900548258936,-0.11478762552212701,3,0,1.5229,1.5229,417.5699200022948,0.0,-0.054300000000000015,-0.0033000000000000806,6.7164537089211604,33.05709021432059
2016-04-08,BE,0.0040999999999999925,9.513879251480102,20.2753849029541,0.9912685467787256,-0.13185851571739118,4,0,1.5196,1.5196,192.89756374398792,0.0,-0.0032999999999998586,-0.006399999999999961,6.694816783496313,32.036890847342356
2016-04-09,BE,0.02299999999999991,8.065441131591797,29.024127960205078,0.9888537064205885,-0.1488903868564548,5,1,1.5237,1.5237,234.09239545882156,8.065441131591797,0.0040999999999999925,0.0020000000000000018,6.948045761244638,32.177704674857004
2016-04-10,BE,0.03730000000000011,6.895441961288451,38.36492156982422,0.986146248341595,-0.16587819893463143,6,1,1.5467,1.5467,264.54309003410634,6.895441961288451,0.02299999999999991,0.016199999999999992,7.648120181901114,34.056938716343474
2016-04-11,BE,0.03729999999999989,3.8885668277740493,36.102455139160156,0.9831469737221499,-0.1828169249850199,0,0,1.584,1.584,140.38680945533892,0.0,0.03730000000000011,0.0,7.594593385287693,35.471435546875
2016-04-12,BE,0.01429999999999998,6.277420616149904,32.41799545288086,0.9798567700958665,-0.1997015525660636,1,0,1.6213,1.6213,203.50139299016814,0.0,0.03729999999999989,0.0,7.573120222772872,35.822868074689595
2016-04-13,BE,0.020399999999999974,8.148774814605714,15.876774787902832,0.9762766110869321,-0.21652708524481437,2,0,1.6356,1.6356,129.37626252882959,0.0,0.01429999999999998,-0.054300000000000015,7.53008440222059,30.59298256465367
2016-04-14,BE,0.020299999999999985,6.8378376960754395,18.398780822753906,0.9724075561219968,-0.23328854407545518,3,0,1.656,1.656,125.80787707165655,0.0,0.020399999999999974,-0.0032999999999998586,7.089623185566493,27.20863437652588
2016-04-15,BE,-0.04789999999999983,5.407421016693114,35.259788513183594,0.9682507501166718,-0.2499809690726521,4,0,1.6763,1.6763,190.66452145034341,0.0,0.020299999999999985,0.0040999999999999925,6.502986294882638,29.349263463701522
2016-04-16,BE,0.023900000000000032,7.654296064376831,38.20242691040039,0.9638074231367307,-0.26659942067929354,5,1,1.6284,1.6284,292.41268594992124,7.654296064376831,-0.04789999999999983,0.02299999999999991,6.444251285280501,30.660449028015137
2016-04-17,BE,0.027099999999999902,10.600754284858702,30.754199981689453,0.9590788900341131,-0.28313898122818354,6,1,1.6523,1.6523,326.0177172332959,10.600754284858702,0.023900000000000032,0.03730000000000011,6.973581617219106,29.573203086853027
2016-04-18,BE,-0.04059999999999997,9.70794186592102,30.926488876342773,0.9540665500578387,-0.2995947563972602,0,0,1.6794,1.6794,300.2325561285887,0.0,0.027099999999999902,0.03729999999999989,7.804920908382961,28.833779335021973
2016-04-19,BE,-0.04059999999999997,7.921170473098755,27.059932708740234,0.9487718864399473,-0.31596187665790293,1,0,1.6388,1.6388,214.34633997651235,0.0,-0.04059999999999997,0.01429999999999998,8.039742316518511,28.06834180014474
2016-04-20,BE,0.06669999999999998,8.518149900436402,36.15267562866211,0.9431964659565866,-0.33223549871590435,2,0,1.5982,1.5982,307.9539103067977,0.0,-0.04059999999999997,0.020399999999999974,8.092510185922896,30.96489906311035
2016-04-21,BE,-0.0023999999999999577,5.56731700897217,35.89364242553711,0.9373419384643772,-0.3484108069446808,3,0,1.6649,1.6649,199.83128598965783,0.0,0.06669999999999998,0.020299999999999985,7.911007230622428,33.46416500636509
2016-04-22,BE,0.01429999999999998,6.786378812789916,35.91529846191406,0.9312100364121947,-0.3644830148102912,4,0,1.6625,1.6625,243.73482053695986,0.0,-0.0023999999999999577,-0.04789999999999983,8.1080012014934,33.55780928475516
2016-04-23,BE,0.018299999999999983,10.31971173286438,36.25827407836914,0.9248025743285089,-0.38044736628785164,5,1,1.6768,1.6768,374.17493641995844,10.31971173286438,0.01429999999999998,0.023900000000000032,8.488774868420192,33.280073165893555
2016-04-24,BE,0.010000000000000009,11.837316632270813,38.37843322753906,0.9181214482844365,-0.39629913726891813,6,1,1.6951,1.6951,454.29766596484296,11.837316632270813,0.018299999999999983,0.027099999999999902,8.665426632336208,34.36924934387207
2016-04-25,BE,-0.03200000000000003,11.437108206748963,42.4403190612793,0.9111686353326631,-0.41203363695942635,0,0,1.7051,1.7051,485.3945214328019,0.0,0.010000000000000009,-0.04059999999999997,8.912450395311629,36.01408222743443
2016-04-26,BE,-0.056599999999999984,12.138358163833619,55.38386917114258,0.9039461929224011,-0.42764620926777464,1,0,1.6731,1.6731,672.2692404982316,0.0,-0.03200000000000003,-0.04059999999999997,9.514905779702323,40.06035886492048
2016-04-27,BE,-0.04380000000000006,11.80554578304291,49.10404968261719,0.8964562582905575,-0.44313223418263453,2,0,1.6165,1.6165,579.7001066609508,0.0,-0.056599999999999984,0.06669999999999998,9.984533762931823,41.91055515834263
2016-04-28,BE,-0.054400000000000004,11.413254022598267,41.57493591308594,0.8887010478292915,-0.45848712914008766,3,0,1.5727,1.5727,474.5053045492932,0.0,-0.04380000000000006,-0.0023999999999999577,10.819667622021267,42.722168513706755
2016-04-29,BE,-0.04279999999999995,9.571483540534974,47.79872512817383,0.8806828564301475,-0.47370635037968,4,0,1.5183,1.5183,457.50471082287123,0.0,-0.054400000000000004,0.01429999999999998,11.217539725984846,44.419800894601
2016-04-30,BE,0.022199999999999998,9.351066660881042,22.453149795532227,0.8724040568049612,-0.48878539428899265,5,1,1.4755,1.4755,209.96090048476938,9.351066660881042,-0.04279999999999995,0.018299999999999983,11.079161858558654,42.44764028276716
2016-05-01,BE,0.009099999999999886,9.029608082771302,17.227418899536133,0.8638670987837349,-0.503719798736334,6,1,1.4977,1.4977,155.55684094053856,9.029608082771302,0.022199999999999998,0.010000000000000009,10.678060637201582,39.42606680733817
2016-05-02,BE,0.018299999999999983,6.226274442672729,36.16163635253906,0.8550745085896932,-0.518505144391157,0,0,1.5068,1.5068,225.15227222703905,0.0,0.009099999999999886,-0.03200000000000003,9.93365581376212,38.52911213466099
2016-05-03,BE,0.009800000000000031,6.58304581642151,33.973777770996094,0.8460288880917339,-0.533137056031809,1,0,1.5251,1.5251,223.65093562338993,0.0,0.018299999999999983,-0.056599999999999984,9.140039764131819,35.47052764892578
