date,country,source,temp_weighted,wind_weighted
2016-01-05,BE,history,5.939974999427795,35.6690788269043
2016-01-06,BE,history,6.325287365913391,27.952787399291992
2016-01-07,BE,history,6.029870843887329,65.0564956665039
2016-01-08,BE,history,4.6564332246780396,51.91993713378906
2016-01-09,BE,history,6.641641354560852,44.3326530456543
2016-01-10,BE,history,6.6426836252212516,50.28157424926758
2016-01-11,BE,history,5.4505998373031606,39.26641082763672
2016-01-12,BE,history,5.306850147247315,56.414424896240234
2016-01-13,BE,history,4.13497507572174,54.536136627197266
2016-01-14,BE,history,3.145079028606415,69.39787292480469
2016-01-15,BE,history,2.4155997753143312,67.66947174072266
2016-01-16,BE,history,2.4059125304222104,45.67462158203125
2016-01-17,BE,history,-1.007004152983427,37.540252685546875
2016-01-18,BE,history,-3.7375250220298764,33.35395431518555
2016-01-19,BE,history,-4.122108256816864,15.459053993225098
2016-01-20,BE,history,-0.38929584100842474,16.279802322387695
2016-01-21,BE,history,-0.013254150841385124,32.902103424072266
2016-01-22,BE,history,1.9249749720096587,42.35166931152344
2016-01-23,BE,history,6.441537547111511,34.96636199951172
2016-01-24,BE,history,7.545079159736633,37.03803253173828
2016-01-25,BE,history,10.13987102508545,43.83286666870117
2016-01-26,BE,history,9.215079736709594,56.65855407714844
2016-01-27,BE,history,10.284350109100343,54.6275520324707
2016-01-28,BE,history,6.268516254425049,44.90629959106445
2016-01-29,BE,history,7.162267065048218,55.21982192993164
2016-01-30,BE,history,6.88653724193573,59.40436553955078
2016-01-31,BE,history,6.738829112052917,48.075836181640625
2016-02-01,BE,history,10.985495567321777,55.0811767578125
2016-02-02,BE,history,8.655392026901245,50.71402359008789
2016-02-03,BE,history,4.5176833868026725,43.7085075378418
2016-02-04,BE,history,5.54132924079895,51.12126541137695
2016-02-05,BE,history,8.347370696067811,38.26852035522461
2016-02-06,BE,history,9.73841257095337,48.43304443359375
2016-02-07,BE,history,8.37466297149658,54.9398193359375
2016-02-08,BE,history,8.078204560279845,72.0899429321289
2016-02-09,BE,history,5.090287113189697,55.70585632324219
2016-02-10,BE,history,4.211537647247314,45.160987854003906
2016-02-11,BE,history,3.4774749875068665,28.712116241455078
2016-02-12,BE,history,2.83476665019989,29.697269439697266
2016-02-13,BE,history,2.469558322429657,41.26674270629883
2016-02-14,BE,history,2.455600035190582,46.52921676635742
2016-02-15,BE,history,2.302162402868271,48.750431060791016
2016-02-16,BE,history,0.191016704775393,26.865264892578125
2016-02-17,BE,history,-0.4132540289312601,29.627363204956055
2016-02-18,BE,history,1.9617457568645476,32.48788070678711
2016-02-19,BE,history,3.520391654968262,43.482574462890625
2016-02-20,BE,history,8.033620905876159,52.09188461303711
2016-02-21,BE,history,10.588308334350586,55.82902145385742
2016-02-22,BE,history,7.634350132942199,51.67599105834961
2016-02-23,BE,history,4.241433393955231,30.752090454101562
2016-02-24,BE,history,1.940079152584076,15.34968376159668
2016-02-25,BE,history,1.188308337330818,22.96111488342285
2016-02-26,BE,history,1.947579252719879,23.93390655517578
2016-02-27,BE,history,2.0912250638008114,41.38121032714844
2016-02-28,BE,history,2.1484123885631563,43.787010192871094
2016-02-29,BE,history,1.7007042229175566,37.68840408325195
2016-03-01,BE,history,2.483204209804535,48.32589340209961
2016-03-02,BE,history,5.895183324813843,50.94349670410156
2016-03-03,BE,history,3.30372496843338,39.518096923828125
2016-03-04,BE,history,3.1168501496315,48.63331985473633
2016-03-05,BE,history,1.5168500065803527,42.87628173828125
2016-03-06,BE,history,3.0942458868026734,46.98379135131836
2016-03-07,BE,history,1.6491416811943054,31.73109245300293
2016-03-08,BE,history,2.3694542467594144,32.76197814941406
2016-03-09,BE,history,4.59830836057663,52.432861328125
2016-03-10,BE,history,4.087058568000794,24.850431442260742
2016-03-11,BE,history,4.587474906444549,23.584808349609375
2016-03-12,BE,history,4.2163294672966005,24.251283645629883
2016-03-13,BE,history,4.476745986938477,32.74417495727539
2016-03-14,BE,history,3.377891707420349,36.15805435180664
2016-03-15,BE,history,4.408620917797089,32.682762145996094
2016-03-16,BE,history,4.967891693115234,35.37721252441406
2016-03-17,BE,history,4.711433458328247,30.455659866333008
2016-03-18,BE,history,3.941537499427795,30.121912002563477
2016-03-19,BE,history,5.023933625221252,29.515607833862305
2016-03-20,BE,history,5.5939337491989125,28.089229583740234
2016-03-21,BE,history,7.004766154289245,25.071096420288086
2016-03-22,BE,history,6.7513288974761965,19.16133689880371
2016-03-23,BE,history,7.2173708200454705,21.566972732543945
2016-03-24,BE,history,7.345599985122679,39.55579376220703
2016-03-25,BE,history,6.912579131126403,39.72416687011719
2016-03-26,BE,history,8.560078763961792,47.27116775512695
2016-03-27,BE,history,9.1546630859375,44.53535842895508
2016-03-28,BE,history,8.907266330718995,68.45114135742188
2016-03-29,BE,history,8.26643352508545,43.890480041503906
2016-03-30,BE,history,8.87872543334961,38.77318572998047
2016-03-31,BE,history,7.173099923133849,30.007678985595703
2016-04-01,BE,history,7.334662270545959,27.416780471801758
2016-04-02,BE,history,10.707161712646483,28.03843116760254
2016-04-03,BE,history,15.005078983306884,25.210283279418945
2016-04-04,BE,history,12.736745595932007,26.200977325439453
2016-04-05,BE,history,10.572267246246337,29.95796775817871
2016-04-06,BE,history,8.54997444152832,52.4859733581543
2016-04-07,BE,history,7.0789337873458855,42.08921813964844
2016-04-08,BE,history,7.486120748519897,20.2753849029541
2016-04-09,BE,history,8.934558868408203,29.024127960205078
2016-04-10,BE,history,10.104558038711549,38.36492156982422
2016-04-11,BE,history,13.11143317222595,36.102455139160156
2016-04-12,BE,history,10.722579383850096,32.41799545288086
2016-04-13,BE,history,8.851225185394286,15.876774787902832
2016-04-14,BE,history,10.16216230392456,18.398780822753906
2016-04-15,BE,history,11.592578983306886,35.259788513183594
2016-04-16,BE,history,9.345703935623169,38.20242691040039
2016-04-17,BE,history,6.399245715141297,30.754199981689453
2016-04-18,BE,history,7.29205813407898,30.926488876342773
2016-04-19,BE,history,9.078829526901245,27.059932708740234
2016-04-20,BE,history,8.481850099563598,36.15267562866211
2016-04-21,BE,history,11.43268299102783,35.89364242553711
2016-04-22,BE,history,10.213621187210084,35.91529846191406
2016-04-23,BE,history,6.68028826713562,36.25827407836914
2016-04-24,BE,history,5.162683367729187,38.37843322753906
2016-04-25,BE,history,5.562891793251037,42.4403190612793
2016-04-26,BE,history,4.861641836166381,55.38386917114258
2016-04-27,BE,history,5.194454216957092,49.10404968261719
2016-04-28,BE,history,5.5867459774017325,41.57493591308594
2016-04-29,BE,history,7.428516459465026,47.79872512817383
2016-04-30,BE,history,7.648933339118957,22.453149795532227
2016-05-01,BE,history,7.970391917228698,17.227418899536133
